PostalCode,Borough,Neighbourhood,Latitude,Longitude
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.654,-79.361
M5B,Downtown Toronto,"Ryerson, Garden District",43.657,-79.379
M5C,Downtown Toronto,St. James Town,43.651,-79.375
M5E,Downtown Toronto,Berczy Park,43.645,-79.373
M5G,Downtown Toronto,Central Bay Street,43.658,-79.387
M6G,Downtown Toronto,Christie,43.670,-79.423
M5H,Downtown Toronto,"Adelaide, King",43.651,-79.385
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands",43.641,-79.382
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.647,-79.382
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.648,-79.380
M5S,Downtown Toronto,"Harbord, University of Toronto",43.663,-79.400
M5T,Downtown Toronto,"Chinatown, Grange Park",43.653,-79.400
M5V,Downtown Toronto,"CN Tower, Bathurst Quay",43.629,-79.394
M4W,Downtown Toronto,Rosedale,43.680,-79.378
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.646,-79.375
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.668,-79.368
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.648,-79.382
M4Y,Downtown Toronto,Church and Wellesley,43.666,-79.383
2000,Sydney,Dawes Point,-33.860,151.210
2000,Sydney,Haymarket,-33.880,151.200
2000,Sydney,Millers Point,-33.860,151.200
2000,Sydney,Sydney,-33.870,151.210
2000,Sydney,The Rocks,-33.860,151.210
2002,Sydney,World Square,-33.880,151.210
2004,Sydney,Eastern Suburbs,-33.950,151.210
2006,Sydney,University Of Sydney,-33.890,151.190
2007,Sydney,Ultimo,-33.880,151.200
2008,Sydney,Chippendale,-33.880,151.200
2008,Sydney,Darlington,-33.890,151.200
2009,Sydney,Pyrmont,-33.870,151.200
2010,Sydney,Surry Hills,-33.890,151.210
2010,Sydney,Darlinghurst,-33.880,151.220
2011,Sydney,Woolloomooloo,-33.870,151.222
2011,Sydney,Elizabeth Bay,-33.871,151.228
2011,Sydney,Potts Point,-33.872,151.223
