PostalCode,Borough,Neighbourhood,Latitude,Longitude
2000,NSW,THE ROCKS,-33.523,151.125
2006,NSW,THE UNIVERSITY OF SYDNEY,-33.533,151.116
2007,NSW,ULTIMO,-33.525,151.115
2008,NSW,DARLINGTON,-33.531,151.114
2009,NSW,PYRMONT,-33.526,151.114
2010,NSW,SURRY HILLS,-33.524,151.124
2011,NSW,WOOLLOOMOOLOO,-33.529,151.133
2015,NSW,EVELEIGH,-33.535,151.112
2016,NSW,REDFERN,-33.534,151.116
2017,NSW,ZETLAND,-33.544,151.121
2018,NSW,ROSEBERY,-33.546,151.121
2019,NSW,BOTANY,-33.567,151.124
2020,NSW,SYDNEY INTERNATIONAL AIRPORT,-33.565,151.957
2021,NSW,PADDINGTON,-33.532,151.132
2022,NSW,QUEENS PARK,-33.535,151.152
2023,NSW,BELLEVUE HILL,-33.532,151.153
2024,NSW,WAVERLEY,-33.535,151.151
2025,NSW,WOOLLAHRA,-33.533,151.144
2026,NSW,TAMARAMA,-33.533,151.163
2027,NSW,POINT PIPER,-33.525,151.143
2028,NSW,DOUBLE BAY,-33.524,151.143
2029,NSW,ROSE BAY,-33.523,151.162
2030,NSW,WATSONS BAY,-33.503,151.166
2031,NSW,ST PAULS,-33.557,151.143
2032,NSW,KINGSFORD,-33.552,151.134
2033,NSW,KENSINGTON,-33.542,151.125
2034,NSW,COOGEE,-33.552,151.152
2035,NSW,PAGEWOOD,-33.563,151.159
2036,NSW,PORT BOTANY,-33.574,151.135
2037,NSW,GLEBE,-33.535,151.105
2038,NSW,ANNANDALE,-33.537,151.103
2039,NSW,ROZELLE,-33.521,151.105
2040,NSW,LILYFIELD,-33.537,151.936
2041,NSW,BIRCHGROVE,-33.513,151.103
2042,NSW,NEWTOWN,-33.535,151.104
2043,NSW,ERSKINEVILLE,-33.542,151.115
2044,NSW,TEMPE,-33.551,151.102
2045,NSW,HABERFIELD,-33.526,151.755
2046,NSW,WAREEMBA,-33.522,151.713
2047,NSW,DRUMMOYNE,-33.516,151.910
2048,NSW,WESTGATE,-33.533,151.958
2049,NSW,PETERSHAM,-33.535,151.855
2050,NSW,CAMPERDOWN,-33.533,151.105
2060,NSW,WAVERTON,-33.502,151.122
2061,NSW,MILSONS POINT,-33.512,151.125
2062,NSW,CAMMERAY,-33.492,151.123
2063,NSW,NORTHBRIDGE,-33.484,151.124
2064,NSW,ARTARMON,-33.482,151.106
2065,NSW,WOLLSTONECRAFT,-33.494,151.112
2066,NSW,RIVERVIEW,-33.483,151.849
2067,NSW,CHATSWOOD WEST,-33.475,151.111
2068,NSW,WILLOUGHBY,-33.485,151.114
2069,NSW,ROSEVILLE,-33.465,151.106
2070,NSW,LINDFIELD,-33.473,151.932
2071,NSW,KILLARA,-33.456,151.920
2072,NSW,GORDON,-33.452,151.920
2073,NSW,WEST PYMBLE,-33.444,151.819
2074,NSW,WARRAWEE,-33.441,151.748
2075,NSW,ST IVES,-33.444,151.105
2076,NSW,WAHROONGA,-33.441,151.528
2077,NSW,WAITARA,-33.424,151.670
2079,NSW,MOUNT COLAH,-33.386,151.770
2080,NSW,MOUNT KURING-GAI,-33.383,151.745
2081,NSW,COWAN,-33.372,151.849
2082,NSW,BEROWRA WATERS,-33.344,151.103
2083,NSW,MOONEY MOONEY,-33.291,151.930
2084,NSW,TERREY HILLS,-33.427,151.124
2085,NSW,DAVIDSON,-33.442,151.131
2086,NSW,FRENCHS FOREST,-33.443,151.116
2087,NSW,KILLARNEY HEIGHTS,-33.454,151.136
2088,NSW,THE SPIT,-33.493,151.143
2089,NSW,NEUTRAL BAY JUNCTION,-33.496,151.136
2090,NSW,CREMORNE,-33.495,151.138
2092,NSW,SEAFORTH,-33.473,151.142
2093,NSW,MANLY VALE,-33.474,151.154
2094,NSW,FAIRLIGHT,-33.475,151.166
2095,NSW,MANLY,-33.486,151.165
2096,NSW,QUEENSCLIFF,-33.465,151.173
2097,NSW,WHEELER HEIGHTS,-33.435,151.173
2099,NSW,WINGALA,-33.441,151.175
2100,NSW,WARRINGAH MALL,-33.451,151.145
2101,NSW,NARRABEEN,-33.431,151.175
2102,NSW,WARRIEWOOD,-33.415,151.182
2103,NSW,MONA VALE,-33.405,151.173
2105,NSW,SCOTLAND ISLAND,-33.385,151.165
2106,NSW,NEWPORT BEACH,-33.393,151.182
2107,NSW,WHALE BEACH,-33.384,151.186
2108,NSW,THE BASIN,-33.354,151.193
2109,NSW,MACQUARIE UNIVERSITY,-33.464,151.627
2110,NSW,WOOLWICH,-33.493,151.900
2111,NSW,TENNYSON POINT,-33.496,151.731
2112,NSW,RYDE,-33.492,151.790
2113,NSW,NORTH RYDE,-33.475,151.834
2114,NSW,WEST RYDE,-33.485,151.551
2115,NSW,ERMINGTON,-33.492,151.420
2116,NSW,RYDALMERE,-33.485,151.217
2117,NSW,TELOPEA,-33.475,151.224
2118,NSW,KINGSDENE,-33.474,151.240
2119,NSW,CHELTENHAM,-33.444,151.320
2120,NSW,WESTLEIGH,-33.435,151.357
2121,NSW,EPPING,-33.463,151.456
2122,NSW,MARSFIELD,-33.475,151.439
2123,NSW,PARRAMATTA,-33.486,150.596
2125,NSW,WEST PENNANT HILLS,-33.446,151.254
2126,NSW,CHERRYBROOK,-33.431,151.260
2130,NSW,SUMMER HILL,-33.534,151.832
2131,NSW,ASHFIELD,-33.526,151.752
2132,NSW,CROYDON,-33.537,151.654
2133,NSW,ENFIELD SOUTH,-33.543,151.619
2134,NSW,BURWOOD,-33.525,151.617
2135,NSW,STRATHFIELD,-33.523,151.547
2136,NSW,STRATHFIELD SOUTH,-33.532,151.531
2137,NSW,NORTH STRATHFIELD,-33.506,151.649
2138,NSW,RHODES,-33.511,151.512
2139,NSW,CONCORD REPATRIATION HOSPITAL,-33.502,151.534
2140,NSW,STRATHFIELD WEST,-33.513,151.441
2141,NSW,LIDCOMBE,-33.495,151.254
2142,NSW,ROSEHILL,-33.491,151.224
2143,NSW,REGENTS PARK,-33.538,151.057
