Borough,Neighbourhood,Latitude,Longitude
Manhattan,Marble Hill,40.876551,-73.91066
Manhattan,Chinatown,40.715618,-73.994279
Manhattan,Washington Heights,40.851903,-73.9369
Manhattan,Inwood,40.867684,-73.92121
Manhattan,Hamilton Heights,40.823604,-73.949688
Manhattan,Manhattanville,40.816934,-73.957385
Manhattan,Central Harlem,40.815976,-73.943211
Manhattan,East Harlem,40.792249,-73.944182
Manhattan,Upper East Side,40.775639,-73.960508
Manhattan,Yorkville,40.77593,-73.947118
Manhattan,Lenox Hill,40.768113,-73.95886
Manhattan,Roosevelt Island,40.76216,-73.949168
Manhattan,Upper West Side,40.787658,-73.977059
Manhattan,Lincoln Square,40.773529,-73.985338
Manhattan,Clinton,40.759101,-73.996119
Manhattan,Midtown,40.754691,-73.981669
Manhattan,Murray Hill,40.748303,-73.978332
Manhattan,Chelsea,40.744035,-74.003116
Manhattan,Greenwich Village,40.726933,-73.999914
Manhattan,East Village,40.727847,-73.982226
Manhattan,Lower East Side,40.717807,-73.98089
Manhattan,Tribeca,40.721522,-74.010683
Manhattan,Little Italy,40.719324,-73.997305
Manhattan,Soho,40.722184,-74.000657
Manhattan,West Village,40.734434,-74.00618
Manhattan,Manhattan Valley,40.797307,-73.964286
Manhattan,Morningside Heights,40.808,-73.963896
Manhattan,Gramercy,40.73721,-73.981376
Manhattan,Battery Park City,40.711932,-74.016869
Manhattan,Financial District,40.707107,-74.010665
Manhattan,Carnegie Hill,40.782683,-73.953256
Manhattan,Noho,40.723259,-73.988434
Manhattan,Civic Center,40.715229,-74.005415
Manhattan,Midtown South,40.74851,-73.988713
Manhattan,Sutton Place,40.76028,-73.963556
Manhattan,Turtle Bay,40.752042,-73.967708
Manhattan,Tudor City,40.746917,-73.971219
Manhattan,Stuyvesant Town,40.731,-73.974052
Manhattan,Flatiron,40.739673,-73.990947
Manhattan,Hudson Yards,40.756658,-74.000111
